,Timestamp,Page_URL,Referrer,User_Agent,Session_ID,User_ID,Event_Type,Event_Value,Location,Device_Type,Traffic_Source,Bounce_Rate,Session_Duration,Conversion_Rate,Exit_Page,Month
0,27-03-2024 07:10,/products,Direct,Chrome,5294,58518,click,863.85,Houston,Mobile,Email,77.03,1539,4.63,/products/dresses,2024-03
1,26-10-2023 03:43,/products/shirts,Social Media,Firefox,7154,37462,add_to_cart,710.09,New York,Desktop,Paid Search,66.73,1271,3.13,/products/pants,2023-10
2,23-03-2023 04:40,/products/dresses,Search Engine,Safari,6273,53010,page_view,919.99,Miami,Tablet,Social Media,75.86,1781,1.69,/products/shirts,2023-03
3,04-04-2023 02:36,/products/accessories,Search Engine,Safari,6185,36146,add_to_cart,758.48,New York,Tablet,Organic Search,28.38,1301,4.07,/checkout,2023-04
4,18-11-2023 01:43,/products/shirts,Social Media,Firefox,7153,92027,page_view,802.16,New York,Desktop,Email,35.83,359,3.73,/products,2023-11
5,09-04-2024 17:02,/products/dresses,Social Media,Edge,4112,99507,page_view,454.33,Chicago,Tablet,Email,63.46,1614,2.86,/products/dresses,2024-04
6,24-02-2024 00:33,/products/shirts,Other Website,Firefox,5331,37486,add_to_cart,464.52,Chicago,Mobile,Email,81.97,1632,1.01,/checkout,2024-02
7,17-02-2024 09:44,/products/dresses,Search Engine,Edge,4174,74816,page_view,698.75,Los Angeles,Tablet,Direct,81.53,497,0.65,/products/shirts,2024-02
8,28-11-2023 15:23,/products,Search Engine,Firefox,1987,80309,add_to_cart,505.66,Los Angeles,Desktop,Email,19.12,1567,1.79,/checkout,2023-11
9,14-02-2024 07:22,/products/shirts,Other Website,Chrome,3587,34359,click,747.34,Miami,Desktop,Email,79.02,463,3.15,/products/dresses,2024-02
10,30-06-2023 02:36,/products,Social Media,Edge,3236,38826,purchase,124.93,Houston,Desktop,Direct,22.44,1289,2.64,/products/pants,2023-06
11,09-03-2023 19:06,/products,Social Media,Chrome,5007,49318,purchase,582.29,Miami,Desktop,Paid Search,59.95,1747,2.61,/products/shirts,2023-03
12,24-12-2023 21:02,/products,Search Engine,Firefox,8989,27719,click,926.79,Houston,Tablet,Email,17.09,93,4.84,/products,2023-12
13,12-01-2024 23:01,/products/accessories,Search Engine,Firefox,8787,21004,add_to_cart,209.29,New York,Tablet,Social Media,35.39,1055,1.21,/products/dresses,2024-01
14,30-06-2023 03:23,/products/pants,Other Website,Chrome,5716,16533,add_to_cart,560.4,Houston,Mobile,Email,33.07,1618,3.9,/products/shirts,2023-06
15,18-08-2023 05:32,/products/dresses,Social Media,Safari,6265,44681,purchase,262.7,Los Angeles,Mobile,Paid Search,74.53,1561,3.89,/checkout,2023-08
16,15-04-2023 15:29,/products/accessories,Social Media,Edge,9033,68256,page_view,650.42,Chicago,Tablet,Email,61.89,1286,2.77,/products/shirts,2023-04
17,13-09-2023 05:54,/products,Other Website,Firefox,6248,40253,purchase,192.95,Houston,Desktop,Email,66.06,1385,3.22,/products/shirts,2023-09
18,31-07-2023 22:09,/products/pants,Search Engine,Safari,5266,42861,purchase,870.12,Los Angeles,Tablet,Organic Search,69.04,1696,4.37,/products/dresses,2023-07
19,04-09-2023 14:43,/products/dresses,Direct,Safari,4401,77847,click,864.37,Chicago,Tablet,Organic Search,68.68,1298,4.77,/products/pants,2023-09
20,29-04-2023 01:45,/products/accessories,Direct,Safari,1337,91222,click,167.03,Houston,Tablet,Social Media,10.59,1061,4,/products,2023-04
21,22-07-2023 04:55,/products/accessories,Other Website,Edge,7382,27415,click,929.19,New York,Mobile,Email,54.42,1520,1.52,/products/shirts,2023-07
22,11-03-2023 14:04,/products/shirts,Social Media,Safari,4379,14786,page_view,951.67,Los Angeles,Mobile,Organic Search,83.31,1473,1.67,/products/dresses,2023-03
23,03-05-2023 23:23,/products/shirts,Social Media,Edge,2260,87242,click,567.89,New York,Desktop,Direct,72.15,1190,1.96,/checkout,2023-05
24,22-01-2024 10:39,/products/pants,Search Engine,Firefox,3628,92690,purchase,336.81,Miami,Mobile,Organic Search,46.39,595,4.85,/checkout,2024-01
25,04-05-2023 22:32,/products/shirts,Social Media,Chrome,6942,83624,page_view,623.18,New York,Mobile,Social Media,35.57,1583,2.91,/products,2023-05
26,01-10-2023 09:33,/products/shirts,Social Media,Firefox,5550,48366,page_view,136.82,Houston,Mobile,Direct,58.4,466,4.16,/checkout,2023-10
27,23-02-2023 09:58,/products/shirts,Search Engine,Edge,3090,93460,add_to_cart,555.83,Los Angeles,Desktop,Organic Search,71.27,868,3.49,/products/dresses,2023-02
28,31-05-2024 07:52,/products/shirts,Direct,Firefox,1289,45445,purchase,175.05,Houston,Desktop,Email,41.83,1596,4.44,/products/dresses,2024-05
29,24-06-2023 02:43,/products/dresses,Social Media,Chrome,8970,64473,purchase,90.75,New York,Mobile,Direct,21.09,875,0.66,/products/dresses,2023-06
30,30-07-2023 13:29,/products/accessories,Search Engine,Edge,5802,12811,click,519.39,Los Angeles,Desktop,Organic Search,75.25,75,1.41,/products,2023-07
31,31-12-2023 18:06,/products/shirts,Search Engine,Chrome,1307,28704,click,385.97,Houston,Desktop,Paid Search,25.43,1336,1.79,/checkout,2023-12
32,27-07-2023 00:56,/products/dresses,Direct,Firefox,8172,25113,click,632.72,Los Angeles,Mobile,Paid Search,20.53,683,0.73,/products/dresses,2023-07
33,09-08-2023 12:58,/products/shirts,Other Website,Chrome,8301,55558,add_to_cart,18.77,Houston,Tablet,Email,88.92,631,4.42,/products/dresses,2023-08
34,24-09-2023 18:35,/products,Search Engine,Chrome,9760,15789,click,990.85,Miami,Mobile,Paid Search,27.5,1687,3.09,/checkout,2023-09
35,16-03-2023 20:07,/products/accessories,Direct,Chrome,1337,29427,click,301.2,New York,Desktop,Organic Search,85.78,580,1.7,/products/dresses,2023-03
36,24-05-2024 08:24,/products/shirts,Search Engine,Safari,7079,57338,click,102.95,Houston,Tablet,Email,40.44,1224,0.98,/products/pants,2024-05
37,10-03-2024 14:01,/products/accessories,Search Engine,Chrome,7258,54618,purchase,224.38,New York,Mobile,Email,61.81,1472,2.23,/products/pants,2024-03
38,19-02-2024 23:01,/products/dresses,Search Engine,Edge,9232,83989,purchase,629.76,Houston,Tablet,Direct,76.43,187,1.06,/checkout,2024-02
39,03-05-2024 14:11,/products,Search Engine,Firefox,4582,32802,page_view,427.22,Houston,Desktop,Direct,19.3,99,2.68,/checkout,2024-05
40,24-02-2024 09:09,/products,Direct,Safari,1287,41668,add_to_cart,49.87,Los Angeles,Mobile,Organic Search,65.78,212,3.28,/products,2024-02
41,12-05-2023 17:55,/products/pants,Direct,Firefox,8997,30862,purchase,633.43,Chicago,Tablet,Social Media,22.09,816,4.14,/products/pants,2023-05
42,15-01-2023 10:25,/products/shirts,Direct,Edge,4673,26313,click,612.27,Miami,Mobile,Paid Search,11.75,745,0.92,/checkout,2023-01
43,08-01-2024 01:33,/products,Other Website,Edge,5092,68495,page_view,488.81,Miami,Tablet,Email,12.57,1671,3.1,/products/pants,2024-01
44,26-12-2023 12:29,/products/dresses,Social Media,Chrome,9740,94675,page_view,540.51,New York,Tablet,Social Media,75.2,156,1.33,/products/pants,2023-12
45,03-02-2023 04:45,/products/accessories,Direct,Chrome,2053,51382,purchase,369.91,Chicago,Mobile,Organic Search,49.15,1508,1.69,/products/dresses,2023-02
46,28-12-2023 06:29,/products/accessories,Other Website,Safari,7347,57968,add_to_cart,900.59,Los Angeles,Mobile,Social Media,28.45,1557,4.49,/products/dresses,2023-12
47,23-11-2023 16:03,/products,Social Media,Edge,2121,91991,purchase,234.26,Miami,Desktop,Email,31.03,183,1.24,/products/dresses,2023-11
48,30-04-2024 11:38,/products,Direct,Safari,2088,13972,page_view,196.98,New York,Tablet,Organic Search,39.87,689,3,/products/pants,2024-04
49,03-02-2024 08:29,/products/shirts,Other Website,Chrome,9795,37370,click,852.41,Chicago,Mobile,Social Media,47.27,1356,1.6,/products,2024-02
50,09-05-2024 15:51,/products/dresses,Social Media,Edge,3570,17657,purchase,446.28,New York,Tablet,Social Media,30.52,220,1.2,/checkout,2024-05
51,20-05-2024 02:32,/products/accessories,Other Website,Edge,8550,18466,click,602.03,Miami,Desktop,Email,69.23,555,4.41,/products/pants,2024-05
52,18-03-2023 20:00,/products/pants,Other Website,Edge,9478,13085,purchase,662.02,Chicago,Mobile,Organic Search,80,1696,2.82,/products,2023-03
53,11-09-2023 08:15,/products,Social Media,Safari,6312,14455,purchase,929.41,Miami,Tablet,Organic Search,25.11,1388,1.31,/checkout,2023-09
54,09-12-2023 00:28,/products/dresses,Search Engine,Firefox,9254,45957,add_to_cart,869.08,Houston,Mobile,Email,23.03,150,0.61,/products/pants,2023-12
55,07-04-2023 16:26,/products/dresses,Other Website,Chrome,8898,62171,click,149.23,Houston,Mobile,Organic Search,40.78,1355,3.36,/products,2023-04
56,19-05-2024 06:48,/products/dresses,Other Website,Edge,2130,75701,add_to_cart,922.02,Los Angeles,Tablet,Paid Search,38.64,620,4.08,/checkout,2024-05
57,29-06-2023 22:10,/products,Direct,Safari,6824,24562,purchase,100.63,Houston,Desktop,Email,33.34,511,1.51,/products,2023-06
58,25-05-2023 05:30,/products/dresses,Social Media,Safari,8744,31658,page_view,966.41,Miami,Tablet,Paid Search,24.74,55,3.72,/checkout,2023-05
59,13-10-2023 15:22,/products/pants,Social Media,Edge,7881,30609,purchase,284.78,Miami,Mobile,Email,22.79,37,1.5,/products/shirts,2023-10
60,06-05-2024 19:44,/products,Other Website,Safari,2627,71615,add_to_cart,454.77,Miami,Desktop,Social Media,36.7,1018,1.08,/products,2024-05
61,08-07-2023 01:24,/products/pants,Social Media,Safari,4538,83915,purchase,697.57,New York,Tablet,Paid Search,44.77,1029,0.92,/products/dresses,2023-07
62,01-02-2024 23:41,/products/accessories,Other Website,Edge,8318,24532,purchase,778,Los Angeles,Desktop,Email,44.17,910,1.68,/products,2024-02
63,14-12-2023 04:45,/products/accessories,Social Media,Chrome,5788,57541,add_to_cart,597.66,Houston,Desktop,Email,77.63,1415,3.92,/checkout,2023-12
64,19-04-2023 20:11,/products/pants,Direct,Edge,1185,86860,page_view,43.01,Miami,Desktop,Social Media,52.78,1346,4.42,/products/dresses,2023-04
65,29-03-2023 15:56,/products/shirts,Social Media,Safari,3527,91148,add_to_cart,453.91,Miami,Desktop,Paid Search,68.7,274,2.1,/checkout,2023-03
66,11-08-2023 12:38,/products,Search Engine,Chrome,1764,95330,add_to_cart,356.12,Miami,Mobile,Paid Search,10.24,173,1.86,/products/pants,2023-08
67,29-03-2023 19:07,/products/dresses,Direct,Chrome,4948,75806,purchase,657.28,Houston,Tablet,Paid Search,61.04,1056,1.46,/products/dresses,2023-03
68,27-04-2024 16:41,/products/accessories,Other Website,Firefox,8431,70542,page_view,418.57,New York,Mobile,Email,80.25,1522,0.91,/products,2024-04
69,09-05-2024 10:22,/products/accessories,Direct,Safari,3126,59510,page_view,749.63,Miami,Mobile,Organic Search,73.11,1174,1.8,/products/shirts,2024-05
70,10-04-2023 16:04,/products/pants,Other Website,Chrome,3025,85180,purchase,565.84,New York,Tablet,Organic Search,63.77,1284,4.28,/products,2023-04
71,14-01-2024 01:57,/products/pants,Other Website,Chrome,5532,35980,add_to_cart,941.45,Chicago,Desktop,Organic Search,52.42,648,3.87,/checkout,2024-01
72,18-09-2023 02:26,/products/dresses,Social Media,Safari,4326,82544,page_view,276.77,New York,Tablet,Email,34.48,1254,4.64,/products,2023-09
73,11-08-2023 06:58,/products/dresses,Social Media,Edge,1338,78117,purchase,410.69,Chicago,Tablet,Direct,60.1,805,2.12,/products/pants,2023-08
74,08-10-2023 06:35,/products/shirts,Other Website,Firefox,5733,15290,add_to_cart,88.72,Houston,Mobile,Paid Search,14.73,305,2.56,/products,2023-10
75,10-06-2023 16:10,/products/shirts,Other Website,Firefox,2907,26875,add_to_cart,523.19,New York,Mobile,Email,18.36,927,4.73,/products/pants,2023-06
76,06-03-2024 19:09,/products,Other Website,Chrome,5744,70806,purchase,598.08,New York,Tablet,Organic Search,57.76,1414,3.34,/checkout,2024-03
77,28-06-2023 14:33,/products/accessories,Search Engine,Firefox,9175,39218,add_to_cart,152.83,New York,Tablet,Direct,66.09,301,1.28,/products/shirts,2023-06
78,07-01-2023 20:47,/products,Direct,Firefox,1925,29239,add_to_cart,119.74,Houston,Desktop,Direct,12.39,301,1.7,/products/shirts,2023-01
79,26-02-2024 15:49,/products/accessories,Direct,Firefox,2993,79289,page_view,51.88,Chicago,Desktop,Email,85.4,300,2.99,/products/dresses,2024-02
80,22-08-2023 20:49,/products,Social Media,Safari,6687,48897,add_to_cart,885.58,Los Angeles,Tablet,Paid Search,68.06,754,5,/checkout,2023-08
81,10-04-2024 00:42,/products/shirts,Other Website,Firefox,5749,17809,purchase,60.77,New York,Tablet,Email,63.59,1158,4.9,/products/pants,2024-04
82,21-06-2023 00:33,/products/dresses,Search Engine,Firefox,7232,70119,purchase,510.5,Miami,Desktop,Direct,13.46,625,2.62,/products/dresses,2023-06
83,03-01-2023 19:35,/products,Social Media,Firefox,7993,58046,purchase,731.72,Miami,Tablet,Paid Search,11.07,390,4.24,/products/dresses,2023-01
84,28-02-2023 18:39,/products/dresses,Other Website,Chrome,5392,79442,page_view,590.78,Houston,Mobile,Paid Search,16.02,218,2.32,/products,2023-02
85,01-04-2024 09:12,/products/dresses,Other Website,Safari,4405,48348,add_to_cart,582.17,Houston,Desktop,Paid Search,47.33,250,1.64,/products/shirts,2024-04
86,17-06-2023 12:35,/products,Direct,Safari,6690,44869,click,301.06,Chicago,Desktop,Organic Search,87.64,1475,4.03,/products/pants,2023-06
87,12-01-2023 13:29,/products/pants,Social Media,Firefox,8409,85989,purchase,854.61,Chicago,Mobile,Email,79.1,587,3.03,/products,2023-01
88,01-06-2023 18:27,/products/pants,Social Media,Chrome,3368,34996,add_to_cart,639,Miami,Tablet,Email,82.37,1533,1.97,/products/shirts,2023-06
89,21-11-2023 20:37,/products/pants,Social Media,Edge,4697,78492,add_to_cart,690.12,Chicago,Desktop,Email,77.56,667,1.53,/products,2023-11
90,28-02-2024 21:05,/products/dresses,Other Website,Safari,5616,40385,page_view,239.02,Miami,Desktop,Direct,36.4,1257,4.14,/products,2024-02
91,02-10-2023 13:48,/products/dresses,Social Media,Edge,5332,32879,purchase,404.7,Miami,Desktop,Social Media,54.66,1604,1.95,/products,2023-10
92,09-11-2023 22:46,/products,Other Website,Firefox,8515,27239,purchase,479.08,Los Angeles,Desktop,Social Media,46.55,1028,4.42,/products/pants,2023-11
93,11-03-2024 13:04,/products/dresses,Direct,Safari,9180,61446,add_to_cart,884.61,Miami,Tablet,Social Media,74.19,234,4.62,/products/pants,2024-03
94,02-04-2024 21:17,/products/shirts,Social Media,Firefox,8360,16159,page_view,493.32,Miami,Mobile,Social Media,42.58,693,4.44,/products/dresses,2024-04
95,07-05-2024 13:34,/products/accessories,Search Engine,Safari,5592,16999,page_view,535.12,Miami,Desktop,Direct,49.99,1520,2.56,/checkout,2024-05
96,08-11-2023 10:50,/products/pants,Direct,Safari,4054,70000,add_to_cart,647.62,Los Angeles,Desktop,Paid Search,53.06,258,3.09,/products,2023-11
97,20-11-2023 14:24,/products/dresses,Search Engine,Chrome,4452,39655,add_to_cart,863.76,Chicago,Desktop,Organic Search,75.24,974,1.63,/products,2023-11
98,02-01-2023 16:34,/products/dresses,Social Media,Firefox,6208,76174,page_view,397.2,Chicago,Mobile,Paid Search,88.21,471,3.5,/products/pants,2023-01
99,13-08-2023 15:15,/products/dresses,Social Media,Firefox,9679,11641,purchase,375.73,New York,Mobile,Paid Search,76.87,717,4.8,/products/dresses,2023-08
100,03-03-2024 14:55,/products/shirts,Social Media,Firefox,7418,53005,click,994.11,Los Angeles,Tablet,Direct,46.68,571,3.27,/products/pants,2024-03
101,07-10-2023 17:40,/products/accessories,Social Media,Chrome,1705,26547,purchase,996.48,Chicago,Mobile,Direct,21.01,1631,4.17,/products/pants,2023-10
102,19-07-2023 11:52,/products,Other Website,Safari,5053,64185,click,279.1,New York,Mobile,Organic Search,52.11,1020,2.85,/checkout,2023-07
103,08-04-2023 03:27,/products/dresses,Search Engine,Edge,3164,72177,add_to_cart,703.95,Chicago,Tablet,Organic Search,69.63,1303,3.73,/products/pants,2023-04
104,03-12-2023 15:49,/products,Direct,Firefox,4935,28302,page_view,414.95,Chicago,Tablet,Organic Search,36.82,356,1.13,/products/dresses,2023-12
105,15-04-2024 08:10,/products/dresses,Other Website,Chrome,6970,12056,add_to_cart,202.46,Los Angeles,Tablet,Organic Search,34.56,587,3.74,/checkout,2024-04
106,22-05-2024 16:08,/products,Other Website,Chrome,5550,86344,click,929.71,New York,Desktop,Social Media,44.53,1397,3.38,/products/dresses,2024-05
107,17-05-2024 10:19,/products/pants,Direct,Firefox,6651,75833,click,696.81,Houston,Mobile,Direct,72.87,449,1.52,/products/shirts,2024-05
108,10-05-2024 13:56,/products/dresses,Social Media,Chrome,8629,75088,page_view,594.92,Houston,Mobile,Paid Search,79.26,1061,4.31,/checkout,2024-05
109,09-03-2024 01:58,/products/shirts,Social Media,Chrome,3533,19025,add_to_cart,490.79,New York,Tablet,Organic Search,83,639,2.68,/checkout,2024-03
110,16-03-2024 18:16,/products/accessories,Other Website,Chrome,1276,35125,add_to_cart,489.84,Chicago,Tablet,Direct,30.52,1782,1.59,/products/dresses,2024-03
111,23-04-2023 22:44,/products/pants,Other Website,Firefox,4329,51503,purchase,488.42,Chicago,Desktop,Email,64.68,564,3.56,/products,2023-04
112,24-10-2023 01:58,/products/accessories,Social Media,Safari,1800,41811,purchase,713.73,Chicago,Mobile,Email,77.88,752,2.11,/products/shirts,2023-10
113,01-05-2024 03:58,/products/shirts,Search Engine,Edge,7734,56074,purchase,82,Houston,Mobile,Email,79.63,1107,2.69,/products/shirts,2024-05
114,29-11-2023 23:25,/products/shirts,Search Engine,Safari,3310,80705,page_view,290.54,Los Angeles,Desktop,Direct,33.31,336,1.56,/products/pants,2023-11
115,05-12-2023 11:03,/products/accessories,Other Website,Edge,3773,68206,add_to_cart,32.29,Los Angeles,Tablet,Direct,13.64,330,1.26,/checkout,2023-12
116,18-12-2023 20:37,/products,Direct,Safari,9385,97893,page_view,708.64,Chicago,Mobile,Paid Search,81.68,1180,3.6,/products/dresses,2023-12
117,13-07-2023 16:39,/products/pants,Search Engine,Safari,6552,32089,purchase,107.24,Miami,Mobile,Social Media,67.26,970,4.88,/products/pants,2023-07
118,17-12-2023 09:03,/products/accessories,Direct,Chrome,4093,29354,purchase,579.63,Los Angeles,Mobile,Social Media,54.57,1001,1.79,/products/dresses,2023-12
119,25-07-2023 10:28,/products,Search Engine,Edge,9397,89083,click,458.54,Houston,Desktop,Direct,34.08,1661,0.9,/checkout,2023-07
120,05-02-2024 18:11,/products/pants,Social Media,Edge,6713,35545,click,652.18,Houston,Tablet,Email,11.73,827,3.14,/products/dresses,2024-02
